origin_id,destination_id,distance_km,time_min
0,1,23.49428,19.170666666666666
0,2,4.77454,8.104166666666666
0,3,18.47002,26.775666666666663
0,4,20.28262,26.189666666666668
0,5,23.30479,21.917
0,6,35.52611,31.178166666666662
0,7,35.22111,30.7665
0,8,23.80914,24.666333333333338
0,9,31.70363,39.098499999999994
0,10,26.88603,32.308166666666665
0,11,22.70132,27.341
0,12,18.48255,26.907333333333337
0,13,25.30232,35.04233333333333
0,14,10.85141,16.46333333333333
0,15,21.786330000000003,27.964833333333335
0,16,17.81759,16.290166666666668
0,17,17.56049,17.237833333333334
0,18,37.98731,45.92666666666666
0,19,26.305169999999997,31.45133333333333
0,20,13.25144,15.347833333333334
0,21,51.11741000000001,50.7695
0,22,28.40186,26.711666666666662
0,23,27.69329,34.366166666666665
0,24,16.0742,14.186
0,25,10.896,17.520166666666668
0,26,26.33509,31.6415
0,27,59.36383,48.2835
0,28,28.98916,35.484500000000004
0,29,17.72614,17.690166666666666
0,30,29.41024,30.725166666666667
0,31,9.67365,15.980333333333334
0,32,0.25758,0.6578333333333333
0,33,27.8605,25.000666666666667
0,34,37.81268,35.333666666666666
0,35,43.52451,45.37133333333334
0,36,29.04912,37.725833333333334
0,37,5.117649999999999,10.4465
0,38,27.70889,24.7965
0,39,28.42882,25.949666666666666
0,40,43.08766000000001,47.03866666666667
0,41,39.88475,40.466
0,42,29.00846,35.51016666666667
0,43,2.228,5.075
0,44,42.56352,48.655
0,45,25.0346,31.0655
0,46,7.82316,12.3795
0,47,35.56243,35.37433333333333
0,48,26.99755,32.08083333333333
0,49,27.14351,22.90216666666667
0,50,7.87921,13.805166666666668
0,51,13.25144,15.347833333333334
0,52,30.74004,36.59533333333333
0,53,23.183490000000003,21.717
0,54,26.270169999999997,32.161500000000004
0,55,15.05246,21.14
0,56,42.27088,47.89633333333334
0,57,3.95063,6.693333333333333
0,58,49.539019999999994,50.257333333333335
0,59,29.77732,34.1525
0,60,22.45311,20.3
0,61,41.2265,45.55466666666667
0,62,43.527800000000006,50.6155
0,63,16.93791,20.404166666666665
0,64,29.53559,29.50883333333333
0,65,35.592589999999994,28.77583333333333
0,66,27.69329,34.366166666666665
0,67,59.35856,50.584
0,68,20.43857,26.0645
0,69,23.95277,29.026
0,70,7.6279,13.333833333333333
1,0,20.88414,16.101166666666668
1,2,18.24803,14.677666666666664
1,3,14.68552,17.816333333333333
1,4,27.41642,34.26433333333333
1,5,38.94797,29.7885
1,6,44.3183,34.11783333333333
1,7,44.01329,33.70616666666667
1,8,39.45232,32.53783333333333
1,9,38.83743,47.17316666666667
1,10,22.48813,26.585500000000003
1,11,21.78685,26.3385
1,12,14.56537,17.636166666666668
1,13,26.28029,28.232833333333335
1,14,17.98521,24.538
1,15,28.92012,36.03933333333334
1,16,26.60977,19.229833333333332
1,17,26.35267,20.1775
1,18,33.096599999999995,39.80783333333333
1,19,22.77282,26.88083333333333
1,20,28.89462,23.219333333333335
1,21,32.11066,37.67466666666667
1,22,9.3951,13.616833333333334
1,23,34.82709,42.44083333333333
1,24,24.86639,17.125666666666667
1,25,29.1309,25.719
1,26,22.80275,27.071166666666667
1,27,68.15602,51.223166666666664
1,28,30.82351,39.7445
1,29,26.51833,20.629833333333337
1,30,38.20243,33.664833333333334
1,31,11.87869,17.06566666666667
1,32,20.99817,16.123166666666666
1,33,8.85374,11.905833333333334
1,34,46.60486,38.27333333333333
1,35,52.3167,48.311
1,36,28.95896,35.32683333333333
1,37,26.31352,18.320833333333333
1,38,8.702129999999999,11.701666666666666
1,39,9.42206,12.854833333333334
1,40,41.5198,52.598166666666664
1,41,48.67693,43.40566666666667
1,42,30.84281,39.77016666666667
1,43,20.93898,16.591166666666666
1,44,44.33097,52.89433333333333
1,45,32.1684,39.14
1,46,24.15025,18.057833333333335
1,47,44.35461,38.314
1,48,23.04777,28.744000000000003
1,49,35.9357,25.841833333333337
1,50,5.851229999999999,6.984166666666667
1,51,28.89462,23.219333333333335
1,52,24.10336,31.037333333333333
1,53,38.82668,29.5885
1,54,44.27844,40.04416666666667
1,55,22.186259999999997,29.21466666666667
1,56,41.2501,52.16733333333333
1,57,10.81711,17.02466666666667
1,58,30.532259999999997,37.1625
1,59,36.91112,42.22716666666667
1,60,38.09629,28.171333333333333
1,61,40.99636,51.642833333333336
1,62,32.36396,37.91133333333333
1,63,17.76629,23.4535
1,64,38.32778,32.4485
1,65,44.38478,31.7155
1,66,34.82709,42.44083333333333
1,67,40.115480000000005,48.70133333333333
1,68,27.57237,34.13916666666667
1,69,23.97612,29.163
1,70,6.28891,7.895333333333334
2,0,5.2538100000000005,8.310166666666667
2,1,20.46229,16.566
2,3,30.66029,28.30666666666667
2,4,26.77988,28.437166666666663
2,5,23.27936,23.022666666666662
2,6,32.49412,28.573500000000003
2,7,32.189119999999996,28.161833333333337
2,8,23.78371,25.772
2,9,38.20089,41.346
2,10,23.66948,28.98966666666667
2,11,19.484779999999997,24.022333333333332
2,12,30.54014,28.12633333333333
2,13,41.72133,37.269
2,14,17.34867,18.710833333333333
2,15,28.28359,30.21216666666667
2,16,7.26242,10.422
2,17,14.5285,14.633166666666666
2,18,34.77077,42.608
2,19,23.08862,28.13266666666667
