origin_id,destination_id,distance_km,duration_min
1,2,7.615939999999999,12.730333333333334
1,3,31.64207,28.47
1,4,33.82564,34.05433333333333
1,5,21.51647,27.029
1,6,41.28839,46.48066666666667
1,7,30.45461,37.008500000000005
1,8,25.923689999999997,29.826
1,9,44.93731,44.02133333333334
1,10,33.473620000000004,32.064
1,11,41.02213,45.8065
1,12,8.38132,16.939333333333334
1,13,28.46361,29.79416666666667
1,14,28.45342,32.163666666666664
1,15,43.81855,44.19733333333333
1,16,12.04652,17.534333333333333
1,17,63.292370000000005,54.315333333333335
1,18,30.558439999999997,36.796166666666664
1,19,23.785580000000003,28.973166666666668
1,20,9.25681,16.534166666666668
1,21,295.10744,186.16983333333337
1,22,13.10247,21.84283333333333
1,23,17.23838,22.061333333333337
1,24,39.67372,35.17733333333333
1,25,8.99789,13.258833333333332
1,26,5.23627,11.220333333333334
1,27,21.39522,20.660833333333336
1,28,41.73809,38.99533333333333
1,29,7.615939999999999,12.730333333333334
2,1,7.771319999999999,12.982
2,3,33.12739,30.526333333333337
2,4,24.86769,29.424
2,5,28.31241,32.667
2,6,48.08433,52.11866666666666
2,7,37.25054,42.6465
2,8,19.66095,24.3265
2,9,36.26836,44.44866666666667
2,10,24.515669999999997,27.433666666666667
2,11,47.81805,51.44433333333333
2,12,16.0409,25.497333333333337
2,13,16.43345,22.566333333333333
2,14,35.24936,37.8015
2,15,34.86061,39.567
2,16,3.93986,6.019
2,17,54.33442,49.68483333333334
2,18,24.2957,31.296666666666667
2,19,30.58151,34.61116666666667
2,20,1.66854,3.8886666666666665
2,21,296.59275,188.22616666666667
2,22,5.514189999999999,9.197333333333336
2,23,18.78779,25.297166666666666
2,24,29.52525,31.6385
2,25,6.624479999999999,10.919166666666666
2,26,10.17839,16.744333333333334
2,27,9.36507,13.433
2,28,32.78014,34.36483333333333
2,29,0.0,0.0
3,1,31.51023,29.327333333333335
3,2,35.91589,33.6685
3,4,45.70454,43.7115
3,5,26.13438,33.10466666666667
3,6,43.45439,52.387166666666666
3,7,45.618559999999995,55.016333333333336
3,8,19.37398,24.03166666666667
3,9,16.30441,21.8645
3,10,45.35252,41.72116666666667
3,11,43.25975,51.82033333333333
3,12,14.77586,20.062
3,13,25.04822,32.533
3,14,39.610879999999995,48.63866666666667
3,15,55.69746,53.8545
3,16,31.17077,28.506666666666668
3,17,34.42252,43.31283333333333
3,18,17.743509999999997,23.15266666666667
