id,name,street,postal_code,city,latitude,longitude
60,Pharmacie Centrale de Claye,60 Rue Jean Jaurès,77410,Claye-Souilly,48.945258,2.686254
61,Pharmacie du Valois,56 Av. du Président John Kennedy,60800,Crépy-en-Valois,49.226409,2.881524
62,PHARMACIE DU CŒUR DE LA BRIE,29-31 Rue de Paris,77320,La Ferté-Gaucher,48.780843,3.304961
63,PHARMACIE DU MARCHÉ,5 Pl. du Marché,77580,Crécy-la-chapelle,48.861602,2.949923
64,Pharmacie Godart,7 Rue Margueritte Perey,77610,Fontenay-Trésigny,48.706751,2.868672
65,Pharmacie De La Gare,5 place Révolution,77680,Roissy en Brie,48.796146,2.650341
66,Pharmacie d'Ile-de-France,"ZAC vaux, 4 Pl. de l'Île de France",77120,Coulommiers,49.046389,2.662412
67,Pharmacie de Beton-Bazoches,1 Pl. de l'Église Saint-Denis,77320,Beton-Bazoches,48.701927,3.24437
68,Pharmacie Parapharmacie des Sources,46 Rue du Plessis,77178,Saint-Pathus,49.07753,2.783077
69,Pharmacie des Ormes,8 Rue Georges Faroy,77515,Faremoutiers,48.801006,2.985533
70,Pharmacie de l'Église,3 Rue Maréchal Joffre,77470,Trilport,48.957825,2.945749
