id,name,street,postal_code,city,latitude,longitude
0,Pharmacie de Saint-Jean - Mr et Mme Poisson,15 bis Rue Raymond Poincaré,77660,Saint-Jean-les-Deux-Jumeaux,48.950984,3.021592
1,Pharmacie de Quincy-Voisins,22 Rue de Meaux,77860,Quincy-Voisins,48.900976,2.876766
2,Pharmacie du Pays de l'Ourcq,2 Rue Jean Jaurès,77440,Lizy-sur-Ourcq,49.024825,3.020362
3,PHARMACIE DE LA POSTE,2 All. de la Poste,77178,Saint-Pathus,49.070347,2.801769
4,Pharmacie De Mauperthuis,44 Av. Pasteur,77410,Claye-Souilly,48.940741,2.6794
5,Pharmacie Victor Hugo,54 Bd Victor Hugo,77220,Gretz-Armainvilliers,48.740468,2.726132
6,PHARMACIE PRINCIPALE,26 Rue de Paris,77220,Gretz-Armainvilliers,48.740172,2.738448
7,PHARMACIE DE JUILLY,6 Rue de la Source,77230,Juilly,49.014653,2.708968
8,Pharmacie Dufour,4 Pl. de la République,60300,Baron,49.172116,2.733907
9,Pharmacie Des Templiers,38 Rue des Caillets,77120,Coulommiers,48.817297,3.091134
10,Pharmacie du Moulin,9 Pl. Alphonse Vion,77515,Pommeuse,48.806217,3.020071
11,Pharmacie Forum Santé du Canal,69 Rue Jean Jaurès,77440,Lizy-sur-Ourcq,49.024682,3.022004
12,Pharmacie de l'Ourcq,2 Pl. du Marché,77840,Crouy-sur-Ourcq,49.090488,3.075164
13,Pharmacie Saint Georges,1 Rue de la République,77122,Monthyon,49.009659,2.83118
14,Pharmacie Blassel,2 Rue du Vert Buisson,60330,Le Plessis-Belleville,49.092782,2.754047
15,Pharmacie de Magny,40 Rue de la Clef des Champs,77700,Magny-le-Hongre,48.867429,2.813369
16,Pharmacie Vauchier,18 Rue du Général de Gaulle,77174,Villeneuve-le-Comte,48.813409,2.829504
17,Pharmacie de l'Eglise,4 Place de l’Église,77320,Choisy-en-Brie,48.758631,3.218955
18,Pharmacie du Pont de la Ville,4 Rue de la Pêcherie,77120,Coulommiers,48.812503,3.083268
19,Pharmacie Lcce -Pharmacie du centre,80 Rue du Général Leclerc,77450,Esbly,48.900584,2.811949
20,Pharmacie de La Vallée du Morin,2 Pl. du Bouloi,77320,Jouy-sur-Morin,48.782857,3.305659
21,Pharmacie du Faubourg,18 Rue du Faubourg,77260,La Ferté-sous-Jouarre,48.948053,3.132662
22,PHARMACIE RATSIMBAZAFY,2 Rue de la Belle Étoile,77230,Longperrier,49.046389,2.662412
23,Pharmacie du Golf à Bailly-romainvilliers,6 Bd des Sports,77700,Bailly-Romainvilliers,48.849982,2.81965
24,Pharmacie Avicenne,33 Rue d'Esbly,77700,Coupvray,48.894811,2.794229
25,Pharmacie Centrale Noël,19/21 Rue Beaurepaire,77120,Coulommiers,48.813526,3.083797
26,Pharmacie Potellet-Collard,2 bis Rue des Hortensias,77160,Chenoise-Cucharmoy,48.616327,3.197391
27,Pharmacie Delahaye et Servais,16 Rue de la Libération,60620,Betz,49.156262,2.954138
28,PHARMACIE DU BEFFROI,9 Rue du Marché,77580,Crécy-la-chapelle,48.857311,2.908697
29,Pharmacie du Centre,9 Rue de Paris,77220,Tournan-en-Brie,48.740163,2.764796
30,Pharmacie Desabres,58 Bis Rue Victor Clairet,77910,Varreddes,49.004524,2.928761
31,Pharmacie principale de Mareuil - Elsie Santé,30 mail Grande Haie,77100,Mareuil lès Meaux,48.93615,2.876124
32,Pharmacie Des Pelletiers,10 Rue des Pelletiers,77160,La Ferté-sous-Jouarre,48.949478,3.130178
