id,name,latitude,longitude
0,PHARMACIE DU PARC,48.94406,2.864255
1,Pharmacie Lcce -Pharmacie du centre,48.900584,2.811949
2,Pharmacie de l'Hotel de Ville,48.95022,3.129599
3,Pharmacie Godart,48.704969,2.87494
4,Pharmacie de Acy en Multien,49.102413,2.954541
5,Pharmacie Principale,49.236792,2.887742
6,Pharmacie Dufour,49.172116,2.733907
7,Pharmacie De Mouroux,48.826948,3.034279
8,Pharmacie Forum Santé de Rebais SELAS,48.847628,3.231976
9,Pharmacie du Breon,48.711638,2.856476
10,Pharmacie des Remparts,49.234527,2.887277
11,Pharmacie ROSSET,48.957707,2.951751
12,Pharmacie Parisot,48.820937,2.958824
13,Pharmacie du Haudouin,49.141267,2.797762
14,La Pharmacie de Guignes,48.630919,2.80994
